Time(h)/Currency(c);Description
555,93.31;Price after 23 days in Flashback (Incursion):
561,93.63;Price after 23 days in Flashback (Incursion):
567,93.89;Price after 23 days in Flashback (Incursion):
573,94.33;Price after 23 days in Flashback (Incursion):
579,94.76;Price after 24 days in Flashback (Incursion):
3,14.8;Price after 0 day in Flashback HC (Incursion):
9,14.8;Price after 0 day in Flashback HC (Incursion):
15,16.08;Price after 0 day in Flashback HC (Incursion):
21,18.05;Price after 0 day in Flashback HC (Incursion):
27,19.68;Price after 1 day in Flashback HC (Incursion):
33,20.93;Price after 1 day in Flashback HC (Incursion):
39,21.66;Price after 1 day in Flashback HC (Incursion):
45,22.46;Price after 1 day in Flashback HC (Incursion):
51,23.18;Price after 2 days in Flashback HC (Incursion):
57,23.76;Price after 2 days in Flashback HC (Incursion):
63,24.19;Price after 2 days in Flashback HC (Incursion):
69,24.54;Price after 2 days in Flashback HC (Incursion):
75,25.59;Price after 3 days in Flashback HC (Incursion):
81,26.74;Price after 3 days in Flashback HC (Incursion):
87,27.61;Price after 3 days in Flashback HC (Incursion):
93,28.27;Price after 3 days in Flashback HC (Incursion):
99,28.67;Price after 4 days in Flashback HC (Incursion):
105,28.98;Price after 4 days in Flashback HC (Incursion):
111,29.39;Price after 4 days in Flashback HC (Incursion):
117,29.67;Price after 4 days in Flashback HC (Incursion):
123,30.01;Price after 5 days in Flashback HC (Incursion):
129,30.37;Price after 5 days in Flashback HC (Incursion):
135,30.78;Price after 5 days in Flashback HC (Incursion):
141,31.22;Price after 5 days in Flashback HC (Incursion):
147,31.8;Price after 6 days in Flashback HC (Incursion):
153,32.39;Price after 6 days in Flashback HC (Incursion):
159,32.88;Price after 6 days in Flashback HC (Incursion):
165,33.18;Price after 6 days in Flashback HC (Incursion):
171,33.55;Price after 7 days in Flashback HC (Incursion):
177,33.94;Price after 7 days in Flashback HC (Incursion):
183,34.31;Price after 7 days in Flashback HC (Incursion):
189,34.65;Price after 7 days in Flashback HC (Incursion):
195,34.94;Price after 8 days in Flashback HC (Incursion):
201,35.17;Price after 8 days in Flashback HC (Incursion):
207,35.41;Price after 8 days in Flashback HC (Incursion):
213,35.66;Price after 8 days in Flashback HC (Incursion):
219,35.74;Price after 9 days in Flashback HC (Incursion):
225,35.76;Price after 9 days in Flashback HC (Incursion):
231,35.85;Price after 9 days in Flashback HC (Incursion):
237,35.89;Price after 9 days in Flashback HC (Incursion):
243,35.95;Price after 10 days in Flashback HC (Incursion):
249,35.95;Price after 10 days in Flashback HC (Incursion):
255,36;Price after 10 days in Flashback HC (Incursion):
261,36.09;Price after 10 days in Flashback HC (Incursion):
267,36.08;Price after 11 days in Flashback HC (Incursion):
273,36.13;Price after 11 days in Flashback HC (Incursion):
279,36.18;Price after 11 days in Flashback HC (Incursion):
285,36.35;Price after 11 days in Flashback HC (Incursion):
291,36.61;Price after 12 days in Flashback HC (Incursion):
303,36.91;Price after 12 days in Flashback HC (Incursion):
309,37.2;Price after 12 days in Flashback HC (Incursion):
315,37.54;Price after 13 days in Flashback HC (Incursion):
321,37.85;Price after 13 days in Flashback HC (Incursion):
327,38.22;Price after 13 days in Flashback HC (Incursion):
333,38.58;Price after 13 days in Flashback HC (Incursion):
339,38.86;Price after 14 days in Flashback HC (Incursion):
345,39.18;Price after 14 days in Flashback HC (Incursion):
351,39.5;Price after 14 days in Flashback HC (Incursion):
357,39.79;Price after 14 days in Flashback HC (Incursion):
363,39.99;Price after 15 days in Flashback HC (Incursion):
369,40.21;Price after 15 days in Flashback HC (Incursion):
375,40.35;Price after 15 days in Flashback HC (Incursion):
381,40.52;Price after 15 days in Flashback HC (Incursion):
393,40.62;Price after 16 days in Flashback HC (Incursion):
399,40.81;Price after 16 days in Flashback HC (Incursion):
405,41.28;Price after 16 days in Flashback HC (Incursion):
411,41.71;Price after 17 days in Flashback HC (Incursion):
417,42.16;Price after 17 days in Flashback HC (Incursion):
423,42.62;Price after 17 days in Flashback HC (Incursion):
429,43.06;Price after 17 days in Flashback HC (Incursion):
435,43.43;Price after 18 days in Flashback HC (Incursion):
441,43.72;Price after 18 days in Flashback HC (Incursion):
447,44.05;Price after 18 days in Flashback HC (Incursion):
453,44.34;Price after 18 days in Flashback HC (Incursion):
459,44.65;Price after 19 days in Flashback HC (Incursion):
465,45.01;Price after 19 days in Flashback HC (Incursion):
471,45.27;Price after 19 days in Flashback HC (Incursion):
477,45.26;Price after 19 days in Flashback HC (Incursion):
483,45.31;Price after 20 days in Flashback HC (Incursion):
489,45.41;Price after 20 days in Flashback HC (Incursion):
495,45.48;Price after 20 days in Flashback HC (Incursion):
507,45.75;Price after 21 days in Flashback HC (Incursion):
513,46.1;Price after 21 days in Flashback HC (Incursion):
519,46.51;Price after 21 days in Flashback HC (Incursion):
525,46.8;Price after 21 days in Flashback HC (Incursion):
531,47.11;Price after 22 days in Flashback HC (Incursion):
537,47.35;Price after 22 days in Flashback HC (Incursion):
543,47.55;Price after 22 days in Flashback HC (Incursion):
549,47.75;Price after 22 days in Flashback HC (Incursion):
555,47.89;Price after 23 days in Flashback HC (Incursion):
561,48;Price after 23 days in Flashback HC (Incursion):
567,48.09;Price after 23 days in Flashback HC (Incursion):
573,48.2;Price after 23 days in Flashback HC (Incursion):
579,48.41;Price after 24 days in Flashback HC (Incursion):
9,22;Price after 0 day in Delve:
15,30.5;Price after 0 day in Delve:
21,33.83;Price after 0 day in Delve:
27,37.5;Price after 1 day in Delve:
33,40.36;Price after 1 day in Delve:
39,43.59;Price after 1 day in Delve:
45,45.55;Price after 1 day in Delve:
51,47.78;Price after 2 days in Delve:
57,50.41;Price after 2 days in Delve:
63,52.42;Price after 2 days in Delve:
69,54.13;Price after 2 days in Delve:
75,55.42;Price after 3 days in Delve:
81,59.42;Price after 3 days in Delve:
87,62.13;Price after 3 days in Delve:
93,64.79;Price after 3 days in Delve:
99,66.98;Price after 4 days in Delve:
105,69.21;Price after 4 days in Delve:
111,71.27;Price after 4 days in Delve:
117,73.63;Price after 4 days in Delve:
123,75.65;Price after 5 days in Delve:
129,77.01;Price after 5 days in Delve:
135,78.51;Price after 5 days in Delve:
141,79.9;Price after 5 days in Delve:
147,81.49;Price after 6 days in Delve:
153,83.11;Price after 6 days in Delve:
159,84.78;Price after 6 days in Delve:
165,86.23;Price after 6 days in Delve:
171,87.46;Price after 7 days in Delve:
177,88.37;Price after 7 days in Delve:
183,88.79;Price after 7 days in Delve:
189,89.1;Price after 7 days in Delve:
195,89.21;Price after 8 days in Delve:
201,89.26;Price after 8 days in Delve:
207,89.27;Price after 8 days in Delve:
213,89.3;Price after 8 days in Delve:
219,89.34;Price after 9 days in Delve:
225,89.33;Price after 9 days in Delve:
231,89.2;Price after 9 days in Delve:
237,89.33;Price after 9 days in Delve:
243,89.52;Price after 10 days in Delve:
249,89.77;Price after 10 days in Delve:
255,90.37;Price after 10 days in Delve:
261,91.2;Price after 10 days in Delve:
267,92.24;Price after 11 days in Delve:
273,93.52;Price after 11 days in Delve:
279,95.12;Price after 11 days in Delve:
285,96.75;Price after 11 days in Delve:
291,98.13;Price after 12 days in Delve:
297,99.4;Price after 12 days in Delve:
303,100.73;Price after 12 days in Delve:
309,101.86;Price after 12 days in Delve:
315,102.42;Price after 13 days in Delve:
321,102.72;Price after 13 days in Delve:
327,102.87;Price after 13 days in Delve:
333,102.69;Price after 13 days in Delve:
339,101.86;Price after 14 days in Delve:
345,100.96;Price after 14 days in Delve:
351,99.98;Price after 14 days in Delve:
357,98.85;Price after 14 days in Delve:
363,97.76;Price after 15 days in Delve:
369,96.8;Price after 15 days in Delve:
375,95.73;Price after 15 days in Delve:
381,94.74;Price after 15 days in Delve:
387,94.32;Price after 16 days in Delve:
393,94.16;Price after 16 days in Delve:
399,94;Price after 16 days in Delve:
405,94.21;Price after 16 days in Delve:
411,94.96;Price after 17 days in Delve:
417,95.66;Price after 17 days in Delve:
423,96.41;Price after 17 days in Delve:
429,97.54;Price after 17 days in Delve:
435,98.5;Price after 18 days in Delve:
441,99.58;Price after 18 days in Delve:
447,100.85;Price after 18 days in Delve:
453,101.99;Price after 18 days in Delve:
459,102.95;Price after 19 days in Delve:
465,103.96;Price after 19 days in Delve:
471,104.92;Price after 19 days in Delve:
477,105.61;Price after 19 days in Delve:
483,106.19;Price after 20 days in Delve:
489,106.61;Price after 20 days in Delve:
495,106.8;Price after 20 days in Delve:
501,106.75;Price after 20 days in Delve:
507,106.88;Price after 21 days in Delve:
513,106.86;Price after 21 days in Delve:
519,106.72;Price after 21 days in Delve:
525,106.7;Price after 21 days in Delve:
531,106.66;Price after 22 days in Delve:
537,106.57;Price after 22 days in Delve:
543,106.32;Price after 22 days in Delve:
549,106.09;Price after 22 days in Delve:
555,105.83;Price after 23 days in Delve:
561,105.65;Price after 23 days in Delve:
567,105.46;Price after 23 days in Delve:
573,105.38;Price after 23 days in Delve:
579,105.54;Price after 24 days in Delve:
585,105.68;Price after 24 days in Delve:
591,105.99;Price after 24 days in Delve:
597,106.44;Price after 24 days in Delve:
603,106.99;Price after 25 days in Delve:
609,107.55;Price after 25 days in Delve:
615,108.22;Price after 25 days in Delve:
621,109.02;Price after 25 days in Delve:
627,109.82;Price after 26 days in Delve:
633,110.58;Price after 26 days in Delve:
639,111.47;Price after 26 days in Delve:
645,112.27;Price after 26 days in Delve:
651,112.86;Price after 27 days in Delve:
657,113.45;Price after 27 days in Delve:
663,113.82;Price after 27 days in Delve:
669,114.03;Price after 27 days in Delve:
675,114.34;Price after 28 days in Delve:
681,114.59;Price after 28 days in Delve:
687,114.79;Price after 28 days in Delve:
693,114.81;Price after 28 days in Delve:
699,114.77;Price after 29 days in Delve:
705,114.68;Price after 29 days in Delve:
711,114.42;Price after 29 days in Delve:
717,113.98;Price after 29 days in Delve:
723,113.65;Price after 30 days in Delve:
729,113.38;Price after 30 days in Delve:
735,113.13;Price after 30 days in Delve:
741,113;Price after 30 days in Delve:
747,112.95;Price after 31 days in Delve:
753,112.82;Price after 31 days in Delve:
759,112.78;Price after 31 days in Delve:
765,112.88;Price after 31 days in Delve:
771,113.01;Price after 32 days in Delve:
777,113.25;Price after 32 days in Delve:
783,113.52;Price after 32 days in Delve:
789,113.92;Price after 32 days in Delve:
795,114.32;Price after 33 days in Delve:
801,114.71;Price after 33 days in Delve:
807,115.09;Price after 33 days in Delve:
813,115.38;Price after 33 days in Delve:
819,115.53;Price after 34 days in Delve:
825,115.78;Price after 34 days in Delve:
831,115.98;Price after 34 days in Delve:
837,116.09;Price after 34 days in Delve:
843,116.3;Price after 35 days in Delve:
849,116.42;Price after 35 days in Delve:
855,116.63;Price after 35 days in Delve:
861,116.91;Price after 35 days in Delve:
867,117.22;Price after 36 days in Delve:
873,117.55;Price after 36 days in Delve:
879,117.88;Price after 36 days in Delve:
885,118.32;Price after 36 days in Delve:
891,118.81;Price after 37 days in Delve:
897,119.35;Price after 37 days in Delve:
903,120.01;Price after 37 days in Delve:
909,120.86;Price after 37 days in Delve:
915,121.76;Price after 38 days in Delve:
921,122.8;Price after 38 days in Delve:
927,123.89;Price after 38 days in Delve:
933,125.01;Price after 38 days in Delve:
939,126.02;Price after 39 days in Delve:
945,126.92;Price after 39 days in Delve:
951,127.83;Price after 39 days in Delve:
957,128.73;Price after 39 days in Delve:
963,129.46;Price after 40 days in Delve:
969,130.18;Price after 40 days in Delve:
975,130.74;Price after 40 days in Delve:
981,131.15;Price after 40 days in Delve:
987,131.42;Price after 41 days in Delve:
993,131.67;Price after 41 days in Delve:
999,131.83;Price after 41 days in Delve:
1005,131.9;Price after 41 days in Delve:
1011,132.1;Price after 42 days in Delve:
1017,132.4;Price after 42 days in Delve:
1023,132.69;Price after 42 days in Delve:
1029,133.01;Price after 42 days in Delve:
1035,133.51;Price after 43 days in Delve:
1041,134.15;Price after 43 days in Delve:
1047,134.82;Price after 43 days in Delve:
1053,135.57;Price after 43 days in Delve:
1059,136.37;Price after 44 days in Delve:
1065,137.14;Price after 44 days in Delve:
1071,137.87;Price after 44 days in Delve:
1077,138.66;Price after 44 days in Delve:
1083,139.39;Price after 45 days in Delve:
1089,140.03;Price after 45 days in Delve:
1095,140.61;Price after 45 days in Delve:
1101,141.17;Price after 45 days in Delve:
1107,141.65;Price after 46 days in Delve:
1113,141.89;Price after 46 days in Delve:
1119,142.14;Price after 46 days in Delve:
1125,142.27;Price after 46 days in Delve:
1131,142.34;Price after 47 days in Delve:
1137,142.25;Price after 47 days in Delve:
1143,142.09;Price after 47 days in Delve:
1149,141.92;Price after 47 days in Delve:
1155,141.45;Price after 48 days in Delve:
1161,140.27;Price after 48 days in Delve:
1167,139.01;Price after 48 days in Delve:
1173,137.65;Price after 48 days in Delve:
1179,136.26;Price after 49 days in Delve:
1185,134.75;Price after 49 days in Delve:
1191,133.29;Price after 49 days in Delve:
1197,131.79;Price after 49 days in Delve:
1203,130.41;Price after 50 days in Delve:
1209,129.15;Price after 50 days in Delve:
1215,127.97;Price after 50 days in Delve:
1221,126.85;Price after 50 days in Delve:
1227,126.04;Price after 51 days in Delve:
1233,126.05;Price after 51 days in Delve:
1239,126.37;Price after 51 days in Delve:
1245,127.02;Price after 51 days in Delve:
1251,127.87;Price after 52 days in Delve:
1257,128.95;Price after 52 days in Delve:
1263,130.07;Price after 52 days in Delve:
1269,131.3;Price after 52 days in Delve:
1275,132.26;Price after 53 days in Delve:
1281,133.34;Price after 53 days in Delve:
1287,134.47;Price after 53 days in Delve:
1293,135.5;Price after 53 days in Delve:
1299,136.45;Price after 54 days in Delve:
1305,137.38;Price after 54 days in Delve:
1311,138.11;Price after 54 days in Delve:
1317,138.53;Price after 54 days in Delve:
1323,138.77;Price after 55 days in Delve:
1329,138.94;Price after 55 days in Delve:
1335,138.94;Price after 55 days in Delve:
1341,138.89;Price after 55 days in Delve:
1347,139.11;Price after 56 days in Delve:
1353,139.16;Price after 56 days in Delve:
1359,139.16;Price after 56 days in Delve:
1365,139.17;Price after 56 days in Delve:
1371,139.11;Price after 57 days in Delve:
1377,138.98;Price after 57 days in Delve:
1383,138.84;Price after 57 days in Delve:
1389,138.76;Price after 57 days in Delve:
1395,138.65;Price after 58 days in Delve:
1401,138.63;Price after 58 days in Delve:
1407,138.67;Price after 58 days in Delve:
1413,138.7;Price after 58 days in Delve:
1419,138.69;Price after 59 days in Delve:
1425,138.78;Price after 59 days in Delve:
1431,138.83;Price after 59 days in Delve:
1437,138.91;Price after 59 days in Delve:
1443,139.17;Price after 60 days in Delve:
1449,139.47;Price after 60 days in Delve:
1455,139.82;Price after 60 days in Delve:
1461,140.05;Price after 60 days in Delve:
1467,140.36;Price after 61 days in Delve:
1473,140.56;Price after 61 days in Delve:
1479,140.74;Price after 61 days in Delve:
1485,140.93;Price after 61 days in Delve:
1491,141.05;Price after 62 days in Delve:
1497,141.23;Price after 62 days in Delve:
1503,141.42;Price after 62 days in Delve:
1509,141.58;Price after 62 days in Delve:
1515,141.71;Price after 63 days in Delve:
1521,141.86;Price after 63 days in Delve:
1527,141.89;Price after 63 days in Delve:
1533,142.02;Price after 63 days in Delve:
1539,142.07;Price after 64 days in Delve:
1545,142.11;Price after 64 days in Delve:
1551,142.13;Price after 64 days in Delve:
1557,142.04;Price after 64 days in Delve:
1563,141.88;Price after 65 days in Delve:
1569,141.61;Price after 65 days in Delve:
1575,141.12;Price after 65 days in Delve:
1581,140.22;Price after 65 days in Delve:
1587,138.96;Price after 66 days in Delve:
1593,137.67;Price after 66 days in Delve:
1599,136.5;Price after 66 days in Delve:
1605,135.39;Price after 66 days in Delve:
1611,134.41;Price after 67 days in Delve:
1617,133.45;Price after 67 days in Delve:
1623,132.5;Price after 67 days in Delve:
1629,131.74;Price after 67 days in Delve:
1635,131.07;Price after 68 days in Delve:
1641,130.23;Price after 68 days in Delve:
1647,129.61;Price after 68 days in Delve:
1653,129.39;Price after 68 days in Delve:
1659,129.39;Price after 69 days in Delve:
1665,129.35;Price after 69 days in Delve:
1671,129.24;Price after 69 days in Delve:
1677,128.92;Price after 69 days in Delve:
1683,128.19;Price after 70 days in Delve:
1689,127.52;Price after 70 days in Delve:
1695,126.75;Price after 70 days in Delve:
1701,125.88;Price after 70 days in Delve:
1707,125.05;Price after 71 days in Delve:
1713,124.38;Price after 71 days in Delve:
1719,123.71;Price after 71 days in Delve:
1725,123.02;Price after 71 days in Delve:
1731,122.51;Price after 72 days in Delve:
1737,122.1;Price after 72 days in Delve:
1743,121.56;Price after 72 days in Delve:
1749,121.17;Price after 72 days in Delve:
1755,121.14;Price after 73 days in Delve:
1761,121;Price after 73 days in Delve:
1767,120.92;Price after 73 days in Delve:
1773,120.87;Price after 73 days in Delve:
1779,120.8;Price after 74 days in Delve:
1785,120.63;Price after 74 days in Delve:
1791,120.48;Price after 74 days in Delve:
1797,120.42;Price after 74 days in Delve:
1803,120.24;Price after 75 days in Delve:
1809,120.03;Price after 75 days in Delve:
1815,119.95;Price after 75 days in Delve:
1821,119.87;Price after 75 days in Delve:
1827,119.74;Price after 76 days in Delve:
1833,119.66;Price after 76 days in Delve:
1839,119.6;Price after 76 days in Delve:
1845,119.55;Price after 76 days in Delve:
1851,119.46;Price after 77 days in Delve:
1857,119.46;Price after 77 days in Delve:
1863,119.46;Price after 77 days in Delve:
1869,119.38;Price after 77 days in Delve:
1875,119.35;Price after 78 days in Delve:
1881,119.35;Price after 78 days in Delve:
1887,119.31;Price after 78 days in Delve:
1893,119.24;Price after 78 days in Delve:
1899,119.21;Price after 79 days in Delve:
1905,119.16;Price after 79 days in Delve:
1911,119.12;Price after 79 days in Delve:
1917,119.04;Price after 79 days in Delve:
1923,119.04;Price after 80 days in Delve:
1929,119.04;Price after 80 days in Delve:
1935,119.04;Price after 80 days in Delve:
1941,119.04;Price after 80 days in Delve:
1947,119.04;Price after 81 days in Delve:
1953,119.04;Price after 81 days in Delve:
1959,119.04;Price after 81 days in Delve:
1965,119.03;Price after 81 days in Delve:
1971,119.03;Price after 82 days in Delve:
1977,119.04;Price after 82 days in Delve:
1983,119.03;Price after 82 days in Delve:
1989,119.05;Price after 82 days in Delve:
1995,119.06;Price after 83 days in Delve:
2001,119.06;Price after 83 days in Delve:
2007,119.07;Price after 83 days in Delve:
2013,119.07;Price after 83 days in Delve:
2019,119.07;Price after 84 days in Delve:
2025,119.08;Price after 84 days in Delve:
2031,119.04;Price after 84 days in Delve:
2037,119.04;Price after 84 days in Delve:
2043,119.03;Price after 85 days in Delve:
2049,119.05;Price after 85 days in Delve:
2055,119.07;Price after 85 days in Delve:
2061,119.05;Price after 85 days in Delve:
2067,119.04;Price after 86 days in Delve:
2073,119.04;Price after 86 days in Delve:
2079,119.01;Price after 86 days in Delve:
2085,119;Price after 86 days in Delve:
2091,119.02;Price after 87 days in Delve:
2097,119.01;Price after 87 days in Delve:
2103,119.06;Price after 87 days in Delve:
2109,119.07;Price after 87 days in Delve:
2115,119.07;Price after 88 days in Delve:
2121,119.06;Price after 88 days in Delve:
2127,119.1;Price after 88 days in Delve:
2133,119.14;Price after 88 days in Delve:
2139,119.18;Price after 89 days in Delve:
2145,119.19;Price after 89 days in Delve:
2151,119.26;Price after 89 days in Delve:
2157,119.3;Price after 89 days in Delve:
2163,119.33;Price after 90 days in Delve:
2169,119.34;Price after 90 days in Delve:
2175,119.38;Price after 90 days in Delve:
2181,119.4;Price after 90 days in Delve:
2187,119.48;Price after 91 days in Delve:
2193,119.55;Price after 91 days in Delve:
2199,119.59;Price after 91 days in Delve:
2205,119.63;Price after 91 days in Delve:
2211,119.68;Price after 92 days in Delve:
2217,119.71;Price after 92 days in Delve:
2223,119.71;Price after 92 days in Delve:
2229,119.74;Price after 92 days in Delve:
2235,119.83;Price after 93 days in Delve:
2241,119.85;Price after 93 days in Delve:
2247,119.93;Price after 93 days in Delve:
2253,120.02;Price after 93 days in Delve:
2259,120.1;Price after 94 days in Delve:
9,10.84;Price after 0 day in Delve HC:
15,11.62;Price after 0 day in Delve HC:
21,15.16;Price after 0 day in Delve HC:
27,17.07;Price after 1 day in Delve HC:
33,19.02;Price after 1 day in Delve HC:
39,20.76;Price after 1 day in Delve HC:
45,22.08;Price after 1 day in Delve HC:
51,23.26;Price after 2 days in Delve HC:
57,24.3;Price after 2 days in Delve HC:
63,25.12;Price after 2 days in Delve HC:
69,25.7;Price after 2 days in Delve HC:
75,26.16;Price after 3 days in Delve HC:
81,27.84;Price after 3 days in Delve HC:
87,29.41;Price after 3 days in Delve HC:
93,30.16;Price after 3 days in Delve HC:
99,31.01;Price after 4 days in Delve HC:
105,31.57;Price after 4 days in Delve HC:
111,32.15;Price after 4 days in Delve HC:
117,32.94;Price after 4 days in Delve HC:
123,33.67;Price after 5 days in Delve HC:
129,34.37;Price after 5 days in Delve HC:
135,35.08;Price after 5 days in Delve HC:
141,35.87;Price after 5 days in Delve HC:
147,36.82;Price after 6 days in Delve HC:
153,37.87;Price after 6 days in Delve HC:
159,38.96;Price after 6 days in Delve HC:
165,40.07;Price after 6 days in Delve HC:
171,41.09;Price after 7 days in Delve HC:
177,42.09;Price after 7 days in Delve HC:
183,42.84;Price after 7 days in Delve HC:
189,43.39;Price after 7 days in Delve HC:
195,44.03;Price after 8 days in Delve HC:
201,44.78;Price after 8 days in Delve HC:
207,45.54;Price after 8 days in Delve HC:
213,46.31;Price after 8 days in Delve HC:
219,46.98;Price after 9 days in Delve HC:
225,47.71;Price after 9 days in Delve HC:
231,48.4;Price after 9 days in Delve HC:
237,49.36;Price after 9 days in Delve HC:
243,50.54;Price after 10 days in Delve HC:
249,51.8;Price after 10 days in Delve HC:
255,53.2;Price after 10 days in Delve HC:
261,54.54;Price after 10 days in Delve HC:
267,55.66;Price after 11 days in Delve HC:
273,56.61;Price after 11 days in Delve HC:
279,57.59;Price after 11 days in Delve HC:
285,58.71;Price after 11 days in Delve HC:
291,59.83;Price after 12 days in Delve HC:
297,60.87;Price after 12 days in Delve HC:
303,61.92;Price after 12 days in Delve HC:
309,62.65;Price after 12 days in Delve HC:
315,63.2;Price after 13 days in Delve HC:
321,63.65;Price after 13 days in Delve HC:
327,63.96;Price after 13 days in Delve HC:
333,64.28;Price after 13 days in Delve HC:
339,64.66;Price after 14 days in Delve HC:
345,65.05;Price after 14 days in Delve HC:
351,65.4;Price after 14 days in Delve HC:
357,65.64;Price after 14 days in Delve HC:
363,65.89;Price after 15 days in Delve HC:
369,66.06;Price after 15 days in Delve HC:
375,66.23;Price after 15 days in Delve HC:
381,66.39;Price after 15 days in Delve HC:
387,66.49;Price after 16 days in Delve HC:
393,66.59;Price after 16 days in Delve HC:
399,66.71;Price after 16 days in Delve HC:
405,66.92;Price after 16 days in Delve HC:
411,67.13;Price after 17 days in Delve HC:
417,67.34;Price after 17 days in Delve HC:
423,67.62;Price after 17 days in Delve HC:
429,67.98;Price after 17 days in Delve HC:
435,68.44;Price after 18 days in Delve HC:
441,68.9;Price after 18 days in Delve HC:
447,69.37;Price after 18 days in Delve HC:
453,69.91;Price after 18 days in Delve HC:
459,70.49;Price after 19 days in Delve HC:
465,71.1;Price after 19 days in Delve HC:
471,71.72;Price after 19 days in Delve HC:
477,72.23;Price after 19 days in Delve HC:
483,72.73;Price after 20 days in Delve HC:
489,73.27;Price after 20 days in Delve HC:
495,73.77;Price after 20 days in Delve HC:
501,74.27;Price after 20 days in Delve HC:
507,74.64;Price after 21 days in Delve HC:
513,75.03;Price after 21 days in Delve HC:
519,75.46;Price after 21 days in Delve HC:
525,76;Price after 21 days in Delve HC:
531,76.54;Price after 22 days in Delve HC:
537,77.06;Price after 22 days in Delve HC:
543,77.68;Price after 22 days in Delve HC:
549,78.43;Price after 22 days in Delve HC:
555,79.3;Price after 23 days in Delve HC:
561,80.17;Price after 23 days in Delve HC:
567,80.98;Price after 23 days in Delve HC:
573,81.69;Price after 23 days in Delve HC:
579,82.4;Price after 24 days in Delve HC:
585,83.11;Price after 24 days in Delve HC:
591,83.78;Price after 24 days in Delve HC:
597,84.29;Price after 24 days in Delve HC:
603,84.83;Price after 25 days in Delve HC:
609,85.35;Price after 25 days in Delve HC:
615,85.73;Price after 25 days in Delve HC:
621,86;Price after 25 days in Delve HC:
627,86.11;Price after 26 days in Delve HC:
633,86.17;Price after 26 days in Delve HC:
639,86.23;Price after 26 days in Delve HC:
645,86.29;Price after 26 days in Delve HC:
651,86.36;Price after 27 days in Delve HC:
657,86.39;Price after 27 days in Delve HC:
663,86.35;Price after 27 days in Delve HC:
669,86.35;Price after 27 days in Delve HC:
675,86.27;Price after 28 days in Delve HC:
681,86.19;Price after 28 days in Delve HC:
687,86.12;Price after 28 days in Delve HC:
693,86.1;Price after 28 days in Delve HC:
699,86.11;Price after 29 days in Delve HC:
705,86.19;Price after 29 days in Delve HC:
711,86.24;Price after 29 days in Delve HC:
717,86.33;Price after 29 days in Delve HC:
723,86.38;Price after 30 days in Delve HC:
729,86.5;Price after 30 days in Delve HC:
735,86.67;Price after 30 days in Delve HC:
741,86.88;Price after 30 days in Delve HC:
747,87.21;Price after 31 days in Delve HC:
753,87.58;Price after 31 days in Delve HC:
759,87.91;Price after 31 days in Delve HC:
765,88.25;Price after 31 days in Delve HC:
771,88.67;Price after 32 days in Delve HC:
777,89.13;Price after 32 days in Delve HC:
783,89.66;Price after 32 days in Delve HC:
789,90.25;Price after 32 days in Delve HC:
795,91;Price after 33 days in Delve HC:
801,91.83;Price after 33 days in Delve HC:
807,92.66;Price after 33 days in Delve HC:
813,93.52;Price after 33 days in Delve HC:
819,94.41;Price after 34 days in Delve HC:
825,95.29;Price after 34 days in Delve HC:
831,96.2;Price after 34 days in Delve HC:
837,97.03;Price after 34 days in Delve HC:
843,97.77;Price after 35 days in Delve HC:
849,98.52;Price after 35 days in Delve HC:
855,99.23;Price after 35 days in Delve HC:
861,100.02;Price after 35 days in Delve HC:
867,100.7;Price after 36 days in Delve HC:
873,101.24;Price after 36 days in Delve HC:
879,101.83;Price after 36 days in Delve HC:
885,102.31;Price after 36 days in Delve HC:
891,102.7;Price after 37 days in Delve HC:
897,103.11;Price after 37 days in Delve HC:
903,103.53;Price after 37 days in Delve HC:
909,104.03;Price after 37 days in Delve HC:
915,104.61;Price after 38 days in Delve HC:
921,105.15;Price after 38 days in Delve HC:
927,105.69;Price after 38 days in Delve HC:
933,106.06;Price after 38 days in Delve HC:
939,106.47;Price after 39 days in Delve HC:
945,107.02;Price after 39 days in Delve HC:
951,107.54;Price after 39 days in Delve HC:
957,108.12;Price after 39 days in Delve HC:
963,108.92;Price after 40 days in Delve HC:
969,109.85;Price after 40 days in Delve HC:
975,110.92;Price after 40 days in Delve HC:
981,111.89;Price after 40 days in Delve HC:
987,112.74;Price after 41 days in Delve HC:
993,113.56;Price after 41 days in Delve HC:
999,114.41;Price after 41 days in Delve HC:
1005,115.14;Price after 41 days in Delve HC:
1011,115.92;Price after 42 days in Delve HC:
1017,116.58;Price after 42 days in Delve HC:
1023,117.28;Price after 42 days in Delve HC:
1029,117.85;Price after 42 days in Delve HC:
1035,118.14;Price after 43 days in Delve HC:
1041,118.27;Price after 43 days in Delve HC:
1047,118.19;Price after 43 days in Delve HC:
1053,118.21;Price after 43 days in Delve HC:
1059,118.23;Price after 44 days in Delve HC:
1065,118.28;Price after 44 days in Delve HC:
1071,118.27;Price after 44 days in Delve HC:
1077,118.41;Price after 44 days in Delve HC:
1083,118.41;Price after 45 days in Delve HC:
1089,118.41;Price after 45 days in Delve HC:
1095,118.35;Price after 45 days in Delve HC:
1101,118.3;Price after 45 days in Delve HC:
1107,118.2;Price after 46 days in Delve HC:
1113,118.12;Price after 46 days in Delve HC:
1119,118.09;Price after 46 days in Delve HC:
1125,117.99;Price after 46 days in Delve HC:
1131,117.95;Price after 47 days in Delve HC:
